Asset Details,,,,,Heat Map Detail,,,Asset Property Values,,
Unique Identifier,Name,Location,Section,Monitor Class,X,Y,Symbol,Pump Volume,Well depth (mBTOC),Pump Install Depth (mBTOC)
SNGWJ028,Gas well,Suntown,Well Station J,Gas Extraction,536459.015,6909273.57,J028,,,
SNGWJ029,Gas well,Suntown,Well Station J,Gas Extraction,536395.204,6909262.83,J029,,,
SNGWJ030,Gas well,Suntown,Well Station J,Gas Extraction,536435.092,6909246.84,J030,,,
SNGWJ031,Gas well,Suntown,Well Station J,Gas Extraction,536472.131,6909231.77,J031,,,
SNGWJ032,Gas well,Suntown,Well Station J,Gas Extraction,536403.938,6909219.94,J032,,,
SNGWJ033,Gas well,Suntown,Well Station J,Gas Extraction,536441.654,6909206.52,J033,,,
SNGWK001,Gas well,Suntown,Well Station K,Gas Extraction,536385.263,6909529.43,K001,,,
SNGWK002,Gas well,Suntown,Well Station K,Gas Extraction,536416.214,6909510.02,K002,,,
SNGWK003,Gas well,Suntown,Well Station K,Gas Extraction,536453.79,6909495.95,K003,,,
SNGWK004,Gas well,Suntown,Well Station K,Gas Extraction,536438.037,6909548.73,K004,,,
SNGWK005,Gas well,Suntown,Well Station K,Gas Extraction,536483.968,6909529.31,K005,,,
SNGWK006,Gas well,Suntown,Well Station K,Gas Extraction,536521.841,6909514.56,K006,,,
SNGWK007,Gas well,Suntown,Well Station K,Gas Extraction,536571.766,6909502.26,K007,,,
SNGWK008,Gas well,Suntown,Well Station K,Gas Extraction,536473.177,6909592.56,K008,,,
SNGWK009,Gas well,Suntown,Well Station K,Gas Extraction,536514.41,6909582.3,K009,,,
SNGWK010,Gas well,Suntown,Well Station K,Gas Extraction,536561.193,6909554.89,K010,,,
SNGWK011,Gas well,Suntown,Well Station K,Gas Extraction,536604.966,6909523.56,K011,,,
SNGWK012,Gas well,Suntown,Well Station K,Gas Extraction,536460.008,6909634.76,K012,,,
SNGWK013,Gas well,Suntown,Well Station K,Gas Extraction,536506.154,6909616.48,K013,,,
SNGWK014,Gas well,Suntown,Well Station K,Gas Extraction,536616.969,6909569.88,K014,,,
SNGWK015,Gas well,Suntown,Well Station K,Gas Extraction,536497.708,6909665.71,K015,,,
SNGWK016,Gas well,Suntown,Well Station K,Gas Extraction,536559.144,6909644.88,K016,,,
SNGWK017,Gas well,Suntown,Well Station K,Gas Extraction,536629.802,6909615.54,K017,,,
